suid,id,ref_ffvl,nom,sous_nom,cp,ville,site_type,site_sous_type,pratiques,lat,lon,alt,acces,trajet_parcking,trajet_attero_deco,handi,orientation.x,vent_favo,vent_defavo,conditions_ideales,balise,webcam,signaletique,description.x,restrictions,reg_aerienne,dangers,numero_cross,date_modification,latitude,longitude,altitude,geometry,coordinates,@id,name,free_flying:hanggliding,free_flying:paragliding,free_flying:site,leisure,sport,surface,type,website,landuse,note,access,ele,free_flying:official,free_flying:site_orientation,lit,network,operator,ref,source,free_flying:tandem,free_flying:network,natural,alt_name,wheelchair,building,building:levels,free_flying:retail,free_flying:school,club,phone,free_flying:rigid,area,aircraft,contact:website,source:date,free_flying:guest-guidelines,free_flying:no-flight-time,description.y,intermittent,inscription,fixme,crop,free_flying:ground_handling,name:en,free_flying,free_flying:orientation,free_flying:club,orientation.y,covered,fee,indoor,source:website,aeroway,mapillary,aircraft:type,aircraft:type2,length,width,abandoned:leisure,official_name,local_ref,free_flying:shop,shop,opening_hours:signed,description:it,operator:website,tourism,addr:city,addr:housenumber,addr:postcode,addr:street,opening_hours,fixme2,board_type,check_date,information,communication:radio,frequency,height,man_made,tower:construction,tower:type,contact:webcam,display:digital,monitoring:weather,recording:automated,recording:remote,weather:anemometer,weather:thermometer,weather:wind_vane,amenity,email,fax,free_flying:repair,ref:FR:SIRET,contact:facebook
19,39002,39D002C,NOIRMONT,Junior n°3 pente école,39220,LES ROUSSES,vol,Décollage,parapente;delta,46.4851,6.098,1213,"Aux Rousses, prendre la direction Bois d'Amont. Sur la RN tourner à droite sur Le Manoir des Montagnes et garer la voiture. Monter à pieds le long du téléski. Compter 15 min de marche.",0,0,0,NNO,N;NO,NA,NA,NA,NA,0,Situé sous la TMA de Genève. Altitude MAXIMUM : 300 mètres au dessus du relief soit 1900 mètres QNH.,NA,NA,.,NA,2020-12-03 12:12:42,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20,39002,39A002A,NOIRMONT,NA,39220,LES ROUSSES,vol,Atterrissage,parapente;delta;0;0;0,46.4905,6.094,1084,NA,0,0,0,"O,ONO,NO",O;NO,NA,NA,NA,NA,0,NA,NA,NA,.,NA,2020-01-28 16:37:59,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
21,12001,12D001A,MILLAU BRUNAS,Brunas,12100,MILLAU,vol,Décollage,parapente;delta,44.0732,3.0642,736,"A partir de Millau par Creissels, puis à la sortie de Creissels, chemin gourdronné sur la gauche.",0,0,1,"N,NO",N;NO,NE;E;SE;S;SO,NA,https://www.openwindmap.org/PP1030,NA,1,"Décollage par vent de Nord Est dangereux, il y a des rotors sur le décollage dus à la crête située au Nord Est. Pour l'utilisation du site lire attentivement la signalisation.",NA,NA,.,NA,2020-07-15 19:57:37,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
22,12001,12A001A,MILLAU,Brunas,12100,MILLAU,vol,Atterrissage,parapente;delta;0;0;0,44.0797,3.0556,466,"Entre Creissels et le décollage sur le bord de la route, sur un plateau intermédiaire.",0,0,0,NO,NO;,NA,NA,NA,NA,0,Dangers par vent de NE.,NA,NA,Dangers par vent de NE.,NA,2020-01-24 08:02:30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
23,12002,12D002A,NOVIS-SEVERAC LE CHATEAU,NOVIS,12150,SEVERAC LE CHÂTEAU,vol,Décollage,parapente;0;0;0;0,44.2575,3.1181,875,"Carte IGN N° 58 RODEZ/MENDE.
Depuis Millau prendre la direction de 
Clermont-Ferrand, RN 9. Une fois sur l\'autoroute A 75, gratuite, prendre la sortie N° 44 direction Novis. Passer devant ce village, sans y aller, suivre la route et passer le col. Dans la descente, le parking et à gauche et le décollage 50 m au-dessus.",5,10,0,"SE,S",SE;S,N;NE;E;SO;O;NO,"vent sud en général trop fort sur Millau, ce site un peu abrité permet de voler, vent entre 20 et 30 km/h",https://www.openwindmap.org/PP60,NA,1,"Site officiel (sensible), surtout ne pas reposer au sommet dans le champ. ne pas se garer à l\'entrée du champ Au dessus du déco. les agriculteurs se sont trouvés bloqués à plusieurs reprises et c\'est source de conflit. En sus les indélicats piétinent parfois les cultures pour atteindre le déco..
interdiction formelle de fumer ou de faire du feu sur le site. Un départ d\'incendie en 2015 a bien failli nous coûter la fermeture définitive de ce site....merci de respecter cette consigne.","respects des consignes affichées sur les panneaux
respects des règles de vol",pas de zone aérienne restrictive sur le site,"zone de vol avec en général du vent fort et du thermique, plutôt réservé à des pilotes expérimentés en tout cas pour les vols de l\'après-midi.",NA,2020-01-26 22:54:35,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
24,12002,12A002A,NOVIS-SEVERAC LE CHATEAU,LE VIGNAL,12150,SEVERAC LE CHÂTEAU,vol,Atterrissage,parapente;0;0;0;0,44.2492,3.1244,655,"Carte IGN N° 58 RODEZ/MENDE.
Depuis Millau prendre la direction de 
Clermont-Ferrand, RN 9. Une fois sur l'autoroute A 75, gratuite, prendre la sortie N° 44 direction Novis. Passer devant ce village, sans y aller, suivre la route et passer le col. Dans la descente le parking et à gauche et le décollage 50 m au-dessus. Au parking du décollage suivre la route jusqu'en bas, l'atterrissage est à droite à côté d'un immense parking naturel.",0,0,0,NA,NA,NA,NA,NA,NA,NA,Pas de gonflages ou de pente école. Déconseillé aux Deltas.,NA,NA,.,NA,2016-05-04 15:54:01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
25,12003,12D003A,MILLAU - PUNCHO D'AGAST,PUNCHO D'AGAST OUEST,12100,MILLAU,vol,Décollage,parapente;delta,44.11,3.1008,807,"Carte IGN 2640 OT TOP 25.
A partir de Millau, direction Gorges de la Dourbie, sauter le Tarn, au rond point de Cureplat, suivre la D 110 jusque sur le causse. Là, prendre la première route goudronnée à droite jusqu'au bout.",0,0,1,O,O,NA,NA,http://www.balisemeteo.com/balise.php?idBalise=66,NA,1,"Déco N/O & N exploitable en parapente jusqu'à max  25 Km/h et max 30km/h en delta , au-delà, aller à Brunas.",NA,NA,.,NA,2020-07-15 19:58:30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
26,12003,12A003A,MILLAU - PUNCHO D\'AGAST,NA,12100,MILLAU,vol,Atterrissage,parapente;delta;0;0;0,44.1169,3.0886,360,"Carte IGN 2640 OT TOP 25.
A partir de Millau, direction Gorges de la Dourbie, sauter le Tarn, au rond point de Cureplat prendre à gauche la route de MILLAU-PLAGE sur 1.5 Km. Grand champ à droite, l\'atterrissage est délimité par les cultures.",0,0,0,"N,S",N;S;,NA,NA,http://www.balisemeteo.com/balise.php?idBalise=66,NA,NA,Attention aux cultures. Turbulent par vent d\'Ouest et Sud-Est.,NA,NA,.,NA,2020-01-24 16:04:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
27,12003,12D003B,MILLAU - PUNCHO D\'AGAST,PUNCHO D\'AGAST SUD,12100,MILLAU,vol,Décollage,parapente;delta;0;0;0,44.1103,3.1036,838,"Carte IGN 2640 OT TOP 25.
A partir de Millau, direction Gorges de la Dourbie, sauter le TARN, au rond point de Cureplat suivre la D 110 jusque sur le causse. Là, prendre la première route goudronnée à droite jusqu\'au bout.",0,0,0,S,S,NA,NA,http://www.balisemeteo.com/balise.php?idBalise=66,NA,0,Vent de S/E. Utiliser le déco en pente plutôt que le déco plat.,NA,NA,.,NA,2020-01-28 16:40:14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
28,12004,12D004A,MILLAU - PIC D'ANDAN,PIC D'ANDAN,12100,MILLAU,vol,Décollage,parapente;delta,44.1358,3.06444,769,"Carte IGN 2540 Est. Aguessac.
A partir de Millau direction Cahors, D 911, passer devant la ferme La Borie Blanque et après la pente école Evasion, la première route à droite direction Les Montels sur 1.5 Km. Parking au pied du site au départ de la piste. Sinon parking au sommet pour les véhicules qui peuvent gravir la côte.",0,0,0,SE,SE;,NA,NA,NA,NA,NA,Vent pouvant forcir rapidement.,NA,NA,NA,NA,0000-00-00 00:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
29,12004,12A004A,MILLAU - PIC D'ANDAN,NA,12100,MILLAU,vol,Atterrissage,parapente,44.1342,3.06889,673,"Carte IGN 2540 est. Aguessac.
A partir de Millau direction Cahors, D 911, passer devant la ferme La Borie Blanque et après la pente école Evasion, la première route à droite direction Les Montels sur 1.5 Km. Parking au pied du site au départ de la piste. Sinon parking au sommet pour les véhicules qui peuvent gravir la côte.",0,0,0,SE,SE;,NA,NA,NA,NA,NA,En pente face au vent. Il varie en fonction des cultures. Pas de gonflage ou de pente école sur l'atterrissage en toute saison.,NA,NA,NA,NA,0000-00-00 00:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
